complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
15-0290,51980707,black,female,1500 15TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0291,86402246,white,male,9807 SUPP POLICE SERVICE,Physical Abuse,No Sustained Findings,Not Applicable
15-0292,36215669,white,male,0300 03RD DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0292,36215669,white,male,0300 03RD DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
15-0292,42237550,black,male,0300 03RD DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0293,27231256,white,male,1900 19TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0293,17262365,black,male,1900 19TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0294,17993471,white,male,2500 25TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0294,11075860,latino,male,2500 25TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0295,74960672,white,female,2200 22ND DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0296,60615274,asian,female,0100 01ST DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0297,51762010,black,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0297,51762010,black,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0297,76774103,white,male,5300 HIGHWAY PATROL,Lack of Service,No Sustained Findings,Not Applicable
15-0298,74967195,black,male,5200 TRAFFIC DISTRICT,Falsification,Sustained Finding,Guilty Finding
15-0298,85892068,black,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0298,74967195,black,male,5200 TRAFFIC DISTRICT,Departmental Violation,Sustained Finding,Guilty Finding
15-0299,31431638,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0300,92793542,black,male,5800 ACADEMY RECRUIT TRN,Physical Abuse,No Sustained Findings,Not Applicable
15-0301,13362562,black,male,1600 16TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
